category,item,planned_low_cny,planned_high_cny,actual_cny,status,source_id,notes
机票与已订送机,3人广州经宁波至大同及运城至广州机票和东莞至白云机场送机,4887,4887,4887,estimate,user-flight-cz5266-paid-20260810,去程机票2915元、返程机票1780元、8月15日送机192元均已确认
住宿,7地8晚一间客房,2135,2135,2135,estimate,user-hotel-hukou-suanzaoshu-selected-20260811,8晚已订住宿合计2135元：大同630元、代县220元、五台山410元、太原285元、平遥242元、酸枣树170元和运城178元
租车,8月16日至22日日产N7 58kWh电动车异地还车订单,1524,1524,1524,estimate,user-rental-ev-booked-20260810,租车订单总价1524元；充电路桥停车另列
已订门票讲解,云冈石窟3人门票及讲解,405,405,405,estimate,user-yungang-ticket-guide-booked-20260811,云冈门票300元与讲解105元已订
其余门票景交,善化寺悬空寺应县木塔五台山晋祠双林寺平遥王家大院壶口及景交,1400,2300,,estimate,,善化寺按2成人40元和儿童当日优惠现场购票并由原弹性区间覆盖；雁门关与壶口山西侧为可选；8岁儿童优待以证件和景区当天政策为准
自驾运行,充电高速停车和长途服务区补给,1200,2200,,estimate,,日产N7为纯电动车；按实时续航补能并保留备用快充
市内与接驳,宁波地铁大同网约车及景区外接驳,700,1400,,estimate,,含宁波半日交通和大同D1至D2网约车；以实时路况为准
返程预约接车,8月23日广州白云机场至东莞预约车,200,200,200,quoted,user-can-dongguan-return-20260814,用户确认已预约且总价200元；不记录住址或订单信息
餐饮,9天3人正餐简餐饮水及小吃,2200,3200,,estimate,,山西特色家常菜为主且正餐尽量不辣；热门店超过止损时间即换备选
弹性备用,天气改线临时支出药品与舒适度升级,1500,3000,,estimate,,不是必须花完的额度；主要应对航变景区临时关闭和疲劳时打车或休息升级
