source_id,source_type,title,url,published_at,verified_at,expires_at,applies_to,confidence,notes
xhs-datong-wuyue-food-20260721,community,小红书：大同吾悦广场小吃街逛吃攻略,https://www.xiaohongshu.com/explore/6a5ea9b9000000001c0133f9,2026-07-21,2026-08-12,2026-08-24,D2吾悦餐饮,low,账号郭十七；可确认吾悦餐饮活跃但正文没有足够门店菜品文字信息；只作商场餐饮营业线索
dp-datong-wuyue-jiexiaozuo,commercial,大众点评街小坐闽南小排档大同吾悦广场店,https://m.dianping.com/shop/1932270168,,2026-08-12,2026-08-24,D2晚餐,medium,页面约4.0分4000余条并列出黑椒芥兰炒牛肉海蛎煎荔枝肉油淋空心菜等高频推荐；到店复核分店楼层与营业
xhs-daixian-local-food-20260616,community,小红书：代县本地人餐饮与最新评论,https://www.xiaohongshu.com/explore/6a309aba000000001700934b,2026-06-16,2026-08-12,2026-08-24,D3代县晚餐,medium,账号大麟的向往；正文称本地常去且非广告；评论认可三分地与面老大具体菜并反复提醒偏咸；图中部分店名不清不采用
xhs-daixian-sanfendi-20260502,community,小红书：代县三分地粗粮馆实吃,https://www.xiaohongshu.com/explore/69f5aef8000000003701df71,2026-05-02,2026-08-12,2026-08-24,D3代县晚餐,low,账号努力的小毓砸；搜索结果明确点名炒粉托和锅包肉；与本地评论交叉后采用炒粉托并要求少盐
xhs-wutai-xiaobaijia-20260810,community,小红书：五台山吃饭这两个家可以,https://www.xiaohongshu.com/explore/6a78aa45000000003300b397,2026-08-10,2026-08-12,2026-08-24,D4至D5五台山餐饮,medium,账号momo；正文称两家未踩雷并计划再吃；评论明确小白家一碗好面便宜量大味道好且可能人多
xhs-wutai-vegan-dicos-20260501,community,小红书：五台山纯素德克士实吃,https://www.xiaohongshu.com/explore/69f42a69000000001f00162b,2026-05-01,2026-08-12,2026-08-24,D4至D5五台山快餐,low,账号VC维C；与7月同类笔记共同确认纯素门店作为标准化快餐线索；营业T-1核对
hotel-yilan-nearby-food,commercial,携程颐兰酒店晋祠景区古唐路店近期住客评论,https://m.ctrip.com/webapp/hotel/commentlist?id=6662300,,2026-08-12,2026-08-24,D5晚餐D6早餐,medium,真实住客提到酒店隔壁有餐厅且人均不贵；未提供可靠店名故正文标注到店核名
food-jinci-jinweizhai-20260812,commercial,携程晋祠宾馆晋味斋餐厅,https://hk.trip.com/restaurant/china/taiyuan/detail/restaurant-42332613/,,2026-08-12,2026-08-24,D5晚餐D6午餐,medium,游客评价认可环境份量和清淡菜选择；具体营业与等位T-1核对
xhs-hukou-shaanxi-food-20260802,community,小红书：陕西侧壶口瀑布自驾吃住游玩实录,https://www.xiaohongshu.com/explore/6a6b68520000000029031da8,2026-08-02,2026-08-12,2026-08-24,D7陕西壶口晚餐,medium,账号菲列杨；确认游客中心周边用餐线索；跨岸农家鱼府服务不错但鲤鱼肉软刺多鱼汤偏淡；不支持为鱼跨河
hotel-yuncheng-weiyuan-food-20260812,commercial,微源国际酒店餐厅送餐及近期住客反馈,https://www.trip.com/hotels/v2/yuncheng-hotel-detail-114968689/weiyuan-international-hotel/,,2026-08-12,2026-08-24,D8运城机场晚餐,medium,页面确认酒店设餐厅客房送餐与便利店；住客称附近吃饭方便；晚餐营业到店即问
