stay_id,check_in,check_out,city,area,property,room_basis,planned_low_cny,planned_high_cny,source_id,status,reason,notes
S01,2026-08-15,2026-08-17,大同,古城北门/华严寺车程内,大同宥庆酒店（大同古城华严寺店）,2间双床或一双床一家庭房×2晚,1600,2400,hotel-datong-youqing,selected,2026年新开且房间较大；有电梯洗衣房和亲子设施；离古城及大同站较方便,8月1日登录价：2间特惠双床住2晚约2524元；床更宽的标准双床约2716元；均可在入住当天18:00前免费取消
S02,2026-08-17,2026-08-19,太原,汾河西岸山西博物院旁,太原温德姆酒店（山西博物院店）,2间双床或大床房×2晚,1600,2400,hotel-taiyuan-wyndham,selected,步行可到山西博物院；房间较大；D4上午少一次跨城移动,8月1日登录价：2间商务大床住2晚无早约2296元；含早约2488元；可在8月14日18:00前免费取消；双床库存仅剩高价家庭套房
S03,2026-08-19,2026-08-21,平遥,古城西门外/又见平遥剧场旁,又见平遥·又见文华大酒店,2间双床或可拼床房×2晚,1800,2800,hotel-pingyao-wenhua,selected,城外现代酒店有电梯且可接站；避开拖行李走石板路；午休回酒店方便,8月1日登录价：普通双床无房；2间罗汉家庭套房住2晚约2916元且含每间3份早餐；入住当天18:00前可免费取消；仅剩3间
S04,2026-08-21,2026-08-23,吉县,县城中心,吉县吉州宾馆,2间双床或大床房×2晚,1400,2000,hotel-jixian-jizhou,selected,县城餐饮和酒店条件较成熟；相较壶口景区住宿缩短D9去运城机场路程,8月1日指定日期页面未显示可订房型；暂保留首选记录并等待用户确认是否切换至汉庭
ALT-S01,2026-08-15,2026-08-17,大同,古城华严寺周边,高渡精品酒店（大同古城华严寺店）,2间客房×2晚,1500,2300,hotel-datong-gaodu,candidate,位置近古城且评价量大,部分评价提到隔音一般；仅在宥庆房态或价格不合适时启用
ALT-S03,2026-08-19,2026-08-21,平遥,古城南门附近,平遥行会馆（古城南门店）,2间客房×2晚,1600,2600,hotel-pingyao-xing,candidate,古院落氛围和接送服务较好,老宅房型可能有气味或卫浴差异；优先让老人儿童看近期房评
ALT-S04,2026-08-21,2026-08-23,吉县,县城中心,汉庭酒店（吉县瀑布店）,2间高级或商务双床房×2晚,1356,1516,hotel-jixian-hanting,candidate,连锁标准更稳定且县城出发方便,8月1日登录价：高级双床无早约1356元；商务双床含早约1516元；2张1.5米床；8月20日23:00前可免费取消；建议替换吉州宾馆待用户确认
ALT-S01-VALUE,2026-08-15,2026-08-17,大同,百盛/明堂公园生活区,万信至格酒店（大同百盛明堂公园店）,2间舒适双床房×2晚,1356,1736,hotel-datong-wanxin,candidate,四人两晚总价显著低于古城内首选且周边商业餐饮方便,8月1日登录价：无早约1356元；含早约1736元；2张1.2米床；8月14日12:00前可免费取消；房间18至23平方米且部分窗景受遮挡
ALT-S02-VALUE,2026-08-17,2026-08-19,太原,千峰南路/山西博物院西南生活区,太原千峰南路山西博物院宜尚PLUS酒店,2间商务双床房×2晚,1136,1136,hotel-taiyuan-echarm-plus,candidate,4.8分且明确有双床库存；比温德姆低约1160元并仍适合山西博物院与晋祠方向,8月1日登录价：每间夜约284元；免费取消；2间2晚合计约1136元；以结算页为准
ALT-S03-VALUE,2026-08-19,2026-08-21,平遥,平遥古城外/古城站方向,平遥陌上轻奢酒店（平遥古城站店）,2间大床房×2晚,1096,1096,hotel-pingyao-moshang,candidate,4.9分且评价量较大；古城外现代酒店避免拖箱走石板路,8月1日登录价：每间夜约274元；免费取消；当前核到的是大床房；2间2晚约1096元
ALT-S03-TWIN,2026-08-19,2026-08-21,平遥,平遥古城北门外,平遥新会馆（平遥古城店）,2间高级标准房×2晚,1016,1016,hotel-pingyao-xinhui,candidate,明确双床并含早餐；价格最低但评分4.5低于陌上轻奢,8月1日登录价：每间夜约254元；含早餐且免费取消；2间2晚约1016元
