segment_id,date,from,to,mode,depart_at,arrive_at,duration_minutes,buffer_minutes,planned_cost_cny,source_id,amap_url,baidu_url,status,notes
T01,2026-08-15,东莞,广州白云国际机场T3,预约送机,06:00,07:10,70,15,192,user-can-t3-transfer-20260809,https://uri.amap.com/search?keyword=广州白云国际机场T3航站楼&city=广州,,confirmed,用户确认已预约送机且费用192元；行李直挂和两段登机牌已出，到T3后直接安检登机；T-1按实时导航复核
T02A,2026-08-15,广州白云国际机场,宁波栎社国际机场,飞机MU6949,08:45,10:50,125,120,0,flight-mu6949-0815,,,confirmed,已出票；公开时刻为规划基准；广州柜台确认行李能否直挂大同
T02C,2026-08-15,宁波栎社国际机场,鼓楼站,地铁2号线（往清水浦方向）,11:20,12:05,45,15,20,ningbo-metro-line2-airport,https://uri.amap.com/search?keyword=宁波地铁鼓楼站&city=宁波,,candidate,行李直挂大同且两段登机牌已出；2号线直达不换乘；票价和班次T-1按宁波地铁实时信息确认
T02C1,2026-08-15,鼓楼站,月湖,步行,12:25,13:05,40,10,0,ningbo-citywalk-order,https://uri.amap.com/search?keyword=宁波月湖公园&city=宁波,,candidate,含鼓楼短停和古城步行；只走鼓楼至月湖的顺向线路
T02C2,2026-08-15,月湖,宁波南塘老街A区,步行,13:05,13:25,20,10,0,ningbo-citywalk-order,https://uri.amap.com/search?keyword=宁波南塘老街A区&city=宁波,,candidate,高温下雨或儿童疲倦时短途网约车兜底；午餐严格50分钟止损
T02D,2026-08-15,宁波南塘老街A区,云霞路站,步行,14:15,14:40,25,10,0,ningbo-nantang-nearest-metro,https://uri.amap.com/search?keyword=宁波地铁云霞路站&city=宁波,,candidate,14:40为城市端硬进站时间；强对流或体感不适时直接网约车回机场
T02D1,2026-08-15,云霞路站,宁波栎社国际机场T2航站楼,地铁2号线（往栎社国际机场方向）,14:40,15:40,60,15,20,ningbo-metro-line2-airport,https://uri.amap.com/search?keyword=宁波栎社国际机场T2航站楼&city=宁波,,candidate,含等车出站和步行回航站楼；当日临时停运或等车超预期时留机场或网约车兜底
T02B,2026-08-15,宁波栎社国际机场,大同云冈国际机场,飞机MU6111,19:50,22:15,145,120,0,flight-mu6111-0815,,,confirmed,已出票；15:45返场后办理未完成手续休息晚餐；票面时刻优先
T12,2026-08-15,大同云冈国际机场,万信至格酒店大同百盛明堂公园店,机场取车后自驾,22:15,23:55,100,30,0,rental-shenzhou-datong,https://uri.amap.com/search?keyword=万信至格酒店大同百盛明堂公园店&city=大同,,confirmed,取行李验车后进城；驾驶员困倦则改网约车并次日取车
T14,2026-08-16,万信至格酒店大同百盛明堂公园店,云冈石窟游客中心,租车自驾,10:10,11:05,55,15,0,yungang-summer-hours-20260809,https://uri.amap.com/search?keyword=云冈石窟游客中心&city=大同,,confirmed,用户指定接近午饭时段入园；近期社区线索不能保证低峰，现场队列超20分钟即跳看，午后仍保留休息
